                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7639,                 1.1169,                0.92951,                0.78041,                0.71394,                0.78515,                0.38482,                 1.6801,                 1.0682,                0.94661,              0.0008911,              0.0008911,              0.0008911
                     36,                 1.7852,                 1.1302,                0.92085,                0.90022,                0.69009,                0.76639,                 0.3044,                 1.9372,                 1.1258,                0.97049,              0.0008878,              0.0008878,              0.0008878
                     37,                 1.7753,                 1.1166,                0.93604,                 0.8913,                0.73587,                0.80933,                0.35436,                 1.8838,                 1.0242,                0.96932,              0.0008845,              0.0008845,              0.0008845
                     38,                 1.7781,                 1.1277,                0.92134,                0.76969,                0.66186,                0.71567,                0.27301,                 2.0565,                 1.1313,                 1.0086,              0.0008812,              0.0008812,              0.0008812
                     39,                 1.7627,                 1.0924,                0.93149,                0.86501,                0.73653,                 0.8125,                0.36897,                 1.8158,                0.99389,                0.96961,              0.0008779,              0.0008779,              0.0008779
                     40,                 1.7564,                  1.084,                0.91251,                0.85695,                0.74982,                0.79893,                0.34182,                 1.9476,                  1.039,                0.99949,              0.0008746,              0.0008746,              0.0008746
                     41,                 1.7236,                 1.0606,                0.91863,                0.92082,                0.75314,                0.82973,                0.39273,                 1.8346,                0.96415,                0.98529,              0.0008713,              0.0008713,              0.0008713
                     42,                 1.7537,                 1.0521,                0.91799,                0.84111,                0.75382,                0.80765,                0.37313,                 1.8195,                 1.0272,                0.96153,               0.000868,               0.000868,               0.000868
                     43,                 1.7333,                 1.0617,                0.91589,                0.89405,                0.76958,                0.84974,                0.42095,                 1.7219,                0.93936,                0.95786,              0.0008647,              0.0008647,              0.0008647
                     44,                 1.7218,                 1.0283,                0.91815,                0.87847,                0.76938,                0.82755,                0.40607,                 1.7412,                0.96312,                 0.9505,              0.0008614,              0.0008614,              0.0008614
                     45,                 1.7212,                 1.0321,                0.91383,                 0.8577,                0.78101,                0.83787,                0.40652,                 1.7242,                0.95303,                0.95107,              0.0008581,              0.0008581,              0.0008581
