                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2285,                 9.7142,                 2.2166,                      0,                      0,                      0,                      0,                 2.6377,                  7.125,                 1.5477,                  8e-05,                  8e-05,                  8e-05
                      2,                 3.6677,                 8.0342,                 1.7491,                      0,                      0,                      0,                      0,                 2.8365,                 6.2864,                 1.2771,             0.00016944,             0.00016944,             0.00016944
                      3,                 3.3867,                 6.1071,                 1.3634,                      0,                      0,                      0,                      0,                 2.5746,                 5.7306,                 1.1855,             0.00025828,             0.00025828,             0.00025828
                      4,                 3.0314,                 5.3887,                 1.2401,                      0,                      0,                      0,                      0,                 2.4655,                 5.1002,                 1.1616,             0.00034654,             0.00034654,             0.00034654
                      5,                 2.7869,                 4.5944,                 1.1598,                0.00012,                 0.0091,                  7e-05,                  3e-05,                 2.6421,                 4.6416,                 1.1624,             0.00043419,             0.00043419,             0.00043419
                      6,                 2.6223,                 4.0461,                 1.1099,                0.00477,                0.30525,                0.11724,                0.04984,                 2.3908,                 4.0461,                 1.1139,             0.00052125,             0.00052125,             0.00052125
                      7,                 2.4697,                  3.582,                 1.0593,                0.00515,                0.31577,                0.12926,                0.06053,                  2.188,                  3.914,                 1.0626,             0.00060772,             0.00060772,             0.00060772
                      8,                 2.3877,                 3.2264,                 1.0339,                0.00719,                0.40906,                0.17399,                0.06999,                 2.3962,                 3.8133,                 1.1173,              0.0006936,              0.0006936,              0.0006936
                      9,                 2.2862,                 2.9062,                 1.0215,                0.68293,                 0.0249,                0.17624,                0.06929,                 2.4896,                 3.7866,                 1.1573,             0.00077888,             0.00077888,             0.00077888
                     10,                 2.2267,                 2.6714,                   1.01,                0.79801,                0.03028,                0.23329,                0.10707,                 2.1774,                 3.5469,                 1.0629,             0.00086357,             0.00086357,             0.00086357
                     11,                 2.2525,                 2.5705,                 1.0093,                 0.7658,                0.09086,                0.28982,                 0.1176,                 2.2644,                 3.0572,                 1.0947,             0.00094766,             0.00094766,             0.00094766
                     12,                 2.1525,                 2.3446,                 1.0016,                0.62745,                0.26229,                0.35375,                0.17179,                 2.1009,                 2.4785,                 1.0538,              0.0009637,              0.0009637,              0.0009637
                     13,                 2.1573,                 2.2342,                0.98587,                  0.743,                0.30563,                0.46121,                0.18738,                 2.0541,                 2.2238,                 1.0251,              0.0009637,              0.0009637,              0.0009637
                     14,                 2.1025,                 2.0856,                0.99454,                0.82378,                0.21444,                 0.4029,                0.19788,                 2.0306,                 2.6229,                 1.0356,              0.0009604,              0.0009604,              0.0009604
                     15,                  2.018,                 1.9116,                0.97577,                0.72751,                0.41773,                0.53921,                0.22449,                  2.065,                 2.1003,                 1.0258,              0.0009571,              0.0009571,              0.0009571
                     16,                 2.0643,                  1.882,                0.99387,                0.60605,                0.47971,                0.51401,                0.21225,                 2.0436,                 1.9491,                 1.0091,              0.0009538,              0.0009538,              0.0009538
                     17,                 2.0605,                 1.8361,                 0.9812,                0.75293,                0.57723,                0.66289,                0.29165,                 1.8471,                 1.6628,                0.98711,              0.0009505,              0.0009505,              0.0009505
                     18,                 1.9942,                 1.6851,                0.97132,                0.77855,                0.60389,                 0.6865,                0.31495,                 1.9073,                 1.5294,                0.99331,              0.0009472,              0.0009472,              0.0009472
                     19,                 1.9885,                 1.6319,                0.97522,                0.77667,                0.61868,                 0.7045,                0.30723,                 1.8597,                 1.4508,                0.99783,              0.0009439,              0.0009439,              0.0009439
                     20,                 1.9785,                 1.5821,                0.96595,                0.68982,                 0.5949,                0.61098,                 0.2761,                 1.8621,                  1.437,                0.99054,              0.0009406,              0.0009406,              0.0009406
                     21,                 1.9513,                 1.4864,                0.96654,                0.78537,                0.58819,                0.70457,                 0.3073,                 1.8426,                 1.4793,                0.98385,              0.0009373,              0.0009373,              0.0009373
                     22,                 1.9072,                 1.4845,                0.95332,                0.80906,                0.65754,                0.75512,                0.32157,                  1.867,                 1.3237,                0.98108,               0.000934,               0.000934,               0.000934
                     23,                 1.9341,                 1.4585,                0.96153,                0.81066,                0.63085,                0.70936,                0.33194,                 1.8425,                 1.3229,                0.97961,              0.0009307,              0.0009307,              0.0009307
                     24,                 1.9187,                   1.39,                0.95418,                 0.7887,                 0.6456,                0.72518,                0.33323,                  1.864,                  1.223,                0.98257,              0.0009274,              0.0009274,              0.0009274
                     25,                 1.8951,                 1.3676,                  0.934,                0.75002,                0.56688,                0.64374,                0.29923,                 1.8711,                 1.4549,                 0.9819,              0.0009241,              0.0009241,              0.0009241
                     26,                 1.9435,                 1.3645,                0.95597,                0.77582,                0.67193,                0.73081,                0.34763,                 1.8128,                 1.1965,                0.98539,              0.0009208,              0.0009208,              0.0009208
                     27,                 1.8956,                  1.324,                0.95273,                0.84874,                0.71745,                0.80126,                 0.3823,                 1.7786,                 1.1834,                0.96456,              0.0009175,              0.0009175,              0.0009175
                     28,                 1.8619,                 1.2858,                0.94398,                0.88024,                0.74263,                0.79873,                 0.3734,                 1.7463,                 1.0886,                0.96009,              0.0009142,              0.0009142,              0.0009142
                     29,                 1.8333,                 1.2633,                 0.9457,                0.86376,                0.69576,                0.77379,                0.34203,                 1.8333,                 1.1691,                0.97329,              0.0009109,              0.0009109,              0.0009109
                     30,                 1.8242,                 1.2212,                0.93677,                0.85822,                0.64746,                0.74724,                0.33438,                 1.8687,                 1.2096,                0.97495,              0.0009076,              0.0009076,              0.0009076
                     31,                 1.8492,                 1.2415,                0.92583,                0.88419,                0.67695,                0.77483,                0.34409,                 1.8806,                  1.282,                0.98354,              0.0009043,              0.0009043,              0.0009043
                     32,                 1.8235,                 1.1927,                0.94141,                0.81066,                0.67066,                0.72973,                0.29103,                 2.0535,                 1.1816,                 1.0112,               0.000901,               0.000901,               0.000901
                     33,                 1.7971,                 1.1553,                0.92398,                0.80056,                0.63746,                0.73292,                0.34267,                 1.7883,                 1.1903,                0.96296,              0.0008977,              0.0008977,              0.0008977
                     34,                 1.7994,                 1.1684,                0.93434,                0.92578,                0.73571,                0.82889,                0.40988,                  1.706,                 1.0204,                0.94463,              0.0008944,              0.0008944,              0.0008944
                     35,                 1.7576,                 1.1206,                0.92866,                0.87846,                0.75477,                0.82544,                0.40322,                 1.7051,                 1.0272,                0.94646,              0.0008911,              0.0008911,              0.0008911
                     36,                 1.7942,                 1.1411,                0.91966,                0.78411,                0.69878,                0.76572,                0.34474,                 1.8051,                 1.1451,                 0.9647,              0.0008878,              0.0008878,              0.0008878
                     37,                 1.7794,                 1.1313,                0.93863,                0.88093,                0.74702,                0.81772,                0.39609,                 1.7659,                 1.0261,                0.94781,              0.0008845,              0.0008845,              0.0008845
                     38,                 1.7913,                 1.1378,                0.92288,                0.73886,                0.71085,                0.75561,                 0.3209,                 1.8923,                 1.1646,                 0.9715,              0.0008812,              0.0008812,              0.0008812
                     39,                 1.7833,                 1.1038,                0.93255,                0.83234,                0.72113,                0.80106,                0.35914,                 1.8292,                 1.0795,                0.97062,              0.0008779,              0.0008779,              0.0008779
                     40,                 1.7355,                 1.0828,                0.90881,                0.78926,                0.75127,                0.79413,                0.36107,                 1.8376,                 1.0364,                0.97716,              0.0008746,              0.0008746,              0.0008746
                     41,                 1.6988,                 1.0569,                0.91445,                0.85703,                0.75128,                0.82312,                0.40763,                 1.7581,                 0.9662,                0.95994,              0.0008713,              0.0008713,              0.0008713
                     42,                  1.726,                 1.0241,                 0.9132,                0.86957,                0.72388,                0.81186,                0.38358,                 1.8021,                 1.0078,                0.95991,               0.000868,               0.000868,               0.000868
                     43,                 1.7398,                 1.0691,                0.91684,                  0.848,                 0.7656,                0.82089,                0.37062,                 1.8212,                 1.0209,                0.96617,              0.0008647,              0.0008647,              0.0008647
                     44,                 1.7208,                 1.0353,                 0.9185,                0.88125,                 0.7471,                0.80104,                0.36272,                 1.8574,                  1.021,                0.97217,              0.0008614,              0.0008614,              0.0008614
                     45,                 1.7212,                 1.0434,                0.91266,                0.87569,                0.76733,                0.82691,                 0.4103,                  1.724,                0.99184,                0.94375,              0.0008581,              0.0008581,              0.0008581
                     46,                 1.7307,                 1.0459,                0.92667,                0.87574,                0.70714,                0.82059,                0.41148,                  1.691,                 1.0383,                  0.948,              0.0008548,              0.0008548,              0.0008548
                     47,                 1.7041,                 1.0051,                0.90557,                  0.841,                0.71882,                0.78157,                0.33659,                 1.8593,                 1.0405,                0.95968,              0.0008515,              0.0008515,              0.0008515
                     48,                 1.7061,                 1.0085,                 0.9049,                0.89938,                0.70978,                0.81933,                0.39477,                 1.7664,                 1.0286,                0.95012,              0.0008482,              0.0008482,              0.0008482
                     49,                 1.6827,                 1.0012,                0.90894,                0.87898,                0.74482,                0.81362,                0.35745,                 1.8402,                0.99722,                0.95834,              0.0008449,              0.0008449,              0.0008449
                     50,                 1.6962,                 1.0092,                0.90699,                0.89872,                0.77809,                0.84768,                0.39217,                 1.8088,                0.96387,                0.95981,              0.0008416,              0.0008416,              0.0008416
                     51,                 1.6862,                0.98657,                0.90911,                0.85962,                0.80476,                0.84155,                0.40126,                 1.7818,                0.94124,                0.95381,              0.0008383,              0.0008383,              0.0008383
